screen,string
after,"Brak czynszu"
after,"Ile możesz wydać miesięcznie na mieszkanie?"
after,"Oferty, których pełny koszt można ustalić"
after,"Pełny koszt"
after,"Propozycja — wyniki wyszukiwania"
after,"Wyniki wyszukiwania: mieszkania dwupokojowe, Kraków"
after,"zł/mies."
before,"2 pokoje"
before,"Aktywne filtry"
before,"Cena do 3000 zł"
before,"Kraków"
before,"Mieszkania dwupokojowe na wynajem: Kraków"
before,"Stan obecny — wyniki wyszukiwania"
listing,"&larr; Wyniki wyszukiwania"
listing,"Brak czynszu"
listing,"Co miesiąc"
listing,"Czynsz administracyjny"
listing,"Koszt miesięczny"
listing,"Najem"
listing,"Napisz do ogłoszeniodawcy"
listing,"Pierwszy miesiąc"
listing,"Propozycja — szczegóły oferty"
listing,"Razem co miesiąc"
listing,"Razem przy wprowadzeniu"
listing,"Zapisz"
