zmienna,opis,typ,dozwolone_wartosci
sygnatura_czasowa,data i godzina wysłania formularza,tekst (DD.MM.RRRR GG:MM),—
respondent_id,identyfikator respondenta,tekst,R01–R47
S1,Czy w ciągu ostatnich 12 mies. szukał najmu długoterminowego w Krakowie,nominalna,Tak / Nie (Nie = koniec ankiety)
S2,Jak zakończyły się poszukiwania,nominalna,"Wynająłem mieszkanie / Zrezygnowałem i zostałem tam, gdzie byłem / Wciąż szukam / Inne: ___"
S3,Który to był najem,porządkowa,Pierwszy w życiu / Drugi / Trzeci lub kolejny
S4,Z których serwisów korzystał (wielokrotny),nominalna wielokrotna,"Otodom; OLX; Grupy na Facebooku; Strona pośrednika / biura nieruchomości; Znajomi, ogłoszenia w okolicy; Inne — rozdzielone średnikiem"
S5,Liczba obejrzanych ofert,porządkowa,Mniej niż 10 / 10–30 / 31–60 / Ponad 60 / Nie pamiętam
S6,Miesięczny budżet na mieszkanie,porządkowa,Do 2000 zł / 2001–2800 zł / 2801–3500 zł / 3501–4500 zł / Powyżej 4500 zł
S7,Co obejmował podawany budżet (kluczowe dla H2),nominalna,Samego czynszu dla właściciela / Czynszu dla właściciela plus czynsz administracyjny / Wszystkiego razem z mediami / Nie zastanawiałem się nad tym w ten sposób
S8,Czy oferta okazała się droższa niż z ogłoszenia,porządkowa,"Tak, wielokrotnie / Tak, raz lub dwa / Nie / Nie pamiętam"
S9,"Co się nie zgadzało (wielokrotny, warunkowe od S8)",nominalna wielokrotna,"Czynsz administracyjny, którego nie zauważyłem; Media wyższe, niż zakładałem; Kaucja wyższa, niż zakładałem; Prowizja pośrednika; Cena wzrosła między ogłoszeniem a rozmową; Inne"
S10_koszt,"Utrudnienie: ustalenie, ile naprawdę zapłacę miesięcznie",porządkowa 1–5,"1 = wcale, 5 = bardzo"
S10_porownanie,Utrudnienie: porównanie dwóch ofert między sobą,porządkowa 1–5,"1 = wcale, 5 = bardzo"
S10_brak_info,Utrudnienie: brak części informacji w ogłoszeniu,porządkowa 1–5,"1 = wcale, 5 = bardzo"
S10_nieaktualne,Utrudnienie: oferty niedostępne lub nieaktualne,porządkowa 1–5,"1 = wcale, 5 = bardzo"
S10_kontakt,Utrudnienie: kontakt z ogłoszeniodawcą,porządkowa 1–5,"1 = wcale, 5 = bardzo"
S11,"Jedna rzecz do zmiany w serwisie (otwarte, nieobowiązkowe)",tekst,pusty = brak odpowiedzi
S12,Wiek,porządkowa,Do 24 / 25–34 / 35–44 / 45 i więcej / Wolę nie podawać
S13,Chęć udziału w sesji testowej,nominalna,"Tak, wyślij mi szczegóły / Nie, dziękuję"
S14,Kontakt — USUNIĘTY ze zbioru,—,zgodnie z 03-screener-pl.md kontakty nie trafiają do repozytorium
