price,admin,rooms
4000,650,2
3160,830,2
3800,1100,3
3100,700,2
4600,1500,3
2850,650,1
4100,1300,3
2900,860,1
3500,1100,3
2950,440,2
3500,680,2
3000,620,2
2500,540,1
1990,450,1
3290,450,1
3000,,4
3650,,3
3550,700,2
1840,310,1
4500,1200,3
7000,1300,3
2800,650,2
2900,750,2
2290,,1
2929,404,2
2200,0,2
4500,,2
4000,1100,3
3000,200,2
3150,750,2
3000,650,2
3900,560,3
4580,676,4
4200,750,3
4300,890,3
2500,820,2
2700,520,1
2550,650,2
3200,750,2
2000,500,1
2000,537,1
3100,250,2
2800,670,2
2400,750,2
3115,0,2
2980,1070,2
2840,1010,2
3500,1200,3
3600,800,3
4500,870,3
3400,750,2
3100,550,2
5500,,3
2500,,3
3000,600,2
2300,520,2
4300,950,3
1900,650,1
12000,1770,4
3000,700,2
4200,440,2
2660,790,1
4040,1330,2
2500,,3
2199,750,2
4500,970,3
2900,750,2
4000,,2
5500,1000,5
3100,700,2
5500,1000,
3400,200,3
2600,700,2
5300,1165,3
2890,960,2
2965,401,2
1980,208,1
2300,559,1
2550,559,1
3603,870,2
3773,900,2
2000,1050,3
5800,800,3
1900,591,1
3700,900,3
3000,1055,3
3500,1300,3
1950,650,1
2700,600,2
2800,713,2
3300,550,2
2800,250,1
1200,250,5
5700,950,4
2750,418,2
2960,740,2
2900,845,2
2500,600,2
3200,1200,2
3500,800,3
2900,750,1
3000,800,2
2600,850,1
2500,500,2
2800,890,2
4000,800,2
2100,600,1
5000,1200,3
2900,700,2
3010,990,2
5460,1480,2
2240,540,1
3000,760,2
3400,700,3
1900,500,1
4200,800,4
2700,600,2
2900,500,2
2800,490,2
4500,750,3
3170,820,2
3190,790,2
3100,414,2
3240,900,2
2700,330,1
3200,600,2
2700,550,2
12000,2000,4
2350,0,2
3500,494,2
2950,160,2
3300,800,2
3800,719,3
3647,700,2
3500,850,2
2200,330,1
4110,1040,3
3300,869,2
3600,750,2
2300,750,2
2600,900,2
5500,1000,5
2700,700,
3300,400,2
7000,1090,3
2900,400,2
3600,800,3
2800,1000,2
2500,540,1
3250,0,4
3800,500,3
4500,1100,3
3200,1260,3
2800,980,2
3600,650,2
2400,800,2
2900,650,1
5300,1200,3
7200,1500,4
4999,1300,3
2500,500,1
5500,1300,3
3500,800,2
2300,540,1
3100,960,2
2600,742,3
4400,1200,2
4999,700,3
2900,800,2
6000,930,3
1900,650,1
3200,700,2
2600,783,2
4000,780,3
7000,1150,3
3880,511,2
2700,520,2
5600,0,4
4500,1000,3
3000,900,3
2590,749,1
3999,1150,3
2900,,2
3000,600,3
4250,700,3
2850,750,2
3300,850,3
4200,700,3
1700,400,1
2400,1002,2
3700,670,3
2400,,2
4500,550,4
3300,500,2
5000,1200,4
4900,750,3
3000,550,2
7500,1600,3
4800,650,2
2950,580,2
2600,700,2
2800,950,2
2700,,2
7000,1400,4
3300,856,2
2600,800,2
2399,670,2
3400,390,2
2200,,1
3400,846,2
4500,620,3
2700,700,2
3500,1200,
1900,350,1
2150,450,1
2100,300,1
4300,850,2
2600,750,2
4950,0,3
3000,730,2
2000,500,1
3200,578,2
2150,690,1
4000,500,2
4000,650,2
3000,600,2
6500,900,3
6000,0,2
2300,350,2
2200,600,1
2500,850,2
2750,600,2
2850,550,2
3600,550,2
1880,710,2
2690,780,2
2400,500,2
3750,950,2
2600,1000,2
2500,1000,2
2650,550,1
4000,650,2
2380,700,1
3200,530,2
1999,500,1
3200,870,3
2800,,3
2800,495,1
2800,600,2
2450,850,1
3900,1300,3
4500,300,3
3400,800,2
3990,400,2
2400,350,2
3000,800,2
3800,800,2
2300,400,1
2500,650,1
3400,,1
2900,714,2
3100,700,2
1900,550,1
2800,300,2
3200,610,2
2300,400,1
3400,650,3
2400,500,1
3000,700,2
2600,800,2
1900,800,1
1900,800,1
