sesja,rola,oferta_id,cena_bazowa,czynsz_adm,kaucja,prowizja,media_szacowane,koszt_miesieczny_realny,koszt_pierwszego_miesiaca
U1,wybrana_Z2,OF-1187,2900,750,2900,0,300,3950,6550
U1,A,OF-1204,2500,1200,2500,0,300,4000,6200
U1,B,OF-1219,3200,350,3200,0,300,3850,6750
U1,C,OF-1233,2980,,2980,0,300,,
U2,wybrana_Z2,OF-1310,2750,620,2750,0,300,3670,6120
U2,A,OF-1322,2600,1150,2600,0,300,4050,6350
U2,B,OF-1341,3150,400,3150,0,300,3850,6700
U2,C,OF-1356,3100,,3100,0,300,,
U6,wybrana_Z2,OF-1361,2850,1010,2850,2850,300,4160,9560
U6,A,OF-1372,2600,1150,2600,0,300,4050,6350
U6,B,OF-1385,3150,420,3150,0,300,3870,6720
U6,C,OF-1391,2990,,2990,0,300,,
U3,wybrana_Z2,OF-1402,3100,400,3100,0,300,3800,6600
U3,A,OF-1417,2450,1250,2450,0,300,4000,6150
U3,B,OF-1428,3300,300,3300,0,300,3900,6900
U3,C,OF-1433,2890,,2890,0,300,,
U4,wybrana_Z2,OF-1455,2600,890,2600,0,300,3790,6090
U4,A,OF-1461,2500,1200,2500,0,300,4000,6200
U4,B,OF-1470,3200,350,3200,0,300,3850,6750
U4,C,OF-1478,2750,,2750,0,300,,
U5,wybrana_Z2,OF-1512,3000,941,3000,0,300,4241,6941
U5,A,OF-1520,2700,1100,2700,0,300,4100,6500
U5,B,OF-1534,3250,380,3250,0,300,3930,6880
U5,C,OF-1545,3050,,3050,0,300,,
