kotwica_id,zmienna,wartosc,jednostka,zakres_min,zakres_max,populacja,data_danych,zrodlo,url,klasa_dowodu,uwaga
K-01,mediana_ceny_bazowej_2pok,2800,zl/mies,2600,2800,"Kraków, mieszkania 2-pokojowe, oferty",2026-04,Znajdź Najem — raport Kraków 04.2026,https://znajdznajem.pl/krakow/raport/2026-04,agregat portalu,"Mediana 2800, średnia 2775, n=9178 ofert w całym mieście"
K-02,srednia_ceny_bazowej_2pok,2775,zl/mies,,,"Kraków, mieszkania 2-pokojowe, oferty",2026-04,Znajdź Najem — raport Kraków 04.2026,https://znajdznajem.pl/krakow/raport/2026-04,agregat portalu,
K-03,mediana_ceny_calego_rynku,2600,zl/mies,,,"Kraków, wszystkie mieszkania, oferty",2026-04,Znajdź Najem — raport Kraków 04.2026,https://znajdznajem.pl/krakow/raport/2026-04,agregat portalu,
K-04,cena_za_m2,68,zl/m2/mies,66,71,"Kraków, oferty najmu",2026-04,Znajdź Najem / GAMP / Otodom,https://znajdznajem.pl/krakow/raport/2026-04,agregat portalu,"Rozrzut źródeł: 66 (GAMP), 68 (Znajdź Najem), 71 (Otodom, 24.08.2026)"
K-05,metraz_sredni_2pok,44,m2,,,"Kraków, mieszkania 2-pokojowe",2026-04,Znajdź Najem — raport Kraków 04.2026,https://znajdznajem.pl/krakow/raport/2026-04,agregat portalu,
K-06,czynsz_adm_mediana_stawki,15.33,zl/m2/mies,10.87,20.31,"Kraków, zgłoszenia mieszkańców",2026-08-21,SprawdzCzynsz — statystyki Kraków,https://www.sprawdzczynsz.pl/krakow/statystyki,samozgłoszenia (obciążone),"n=568 zgłoszeń, 459 lokalizacji, 173 zarządców. Średnia 15,88 zł/m2, średnia opłata 865 zł przy 55,3 m2. Próba samoselekcyjna: zgłaszają głównie osoby zdziwione wysokością"
K-07,czynsz_adm_2pok_krakow,490,zl/mies,380,600,"Kraków, mieszkania 2-pokojowe",2026,Zestawienie rynkowe (wyszukiwanie),https://www.activ-investment.eu/blog/wspolnota-mieszkaniowa-koszty/,wtórne / poradnikowe,"Spółdzielnie Nowa Huta/Krowodrza 350–450, nowe budownictwo 500–700"
K-08,czynsz_adm_stawka_wlasnosciowe,10,zl/m2/mies,5.96,15.22,"Kraków, lokale własnościowe",2026,Activ Investment,https://www.activ-investment.eu/blog/ile-wynosi-czynsz-za-mieszkanie-wlasnosciowe-przyklad-2026/,wtórne / poradnikowe,"Deklarowana średnia 8–12 zl/m2"
K-09,media_lacznie_2osoby_50m2,470,zl/mies,350,600,"Polska, 1–2 osoby, 50 m2",2026,Zestawienie cen mediów,https://santeos.pl/ceny-mediow-w-polsce-prad-gaz-woda-internet-wyliczenia/,wtórne / poradnikowe,"Prąd ~250, gaz ~80, woda i ścieki ~70, internet ~70"
K-10,media_prad,250,zl/mies,220,440,"Polska, gospodarstwo 1–2 osoby",2026,Zestawienie cen mediów,https://santeos.pl/ceny-mediow-w-polsce-prad-gaz-woda-internet-wyliczenia/,wtórne / poradnikowe,"1,10 zł/kWh brutto, zużycie 200–400 kWh/mies"
K-11,media_internet,70,zl/mies,60,80,"Polska, światłowód 300–600 Mbps",2026,Zestawienie cen mediów,https://santeos.pl/ceny-mediow-w-polsce-prad-gaz-woda-internet-wyliczenia/,wtórne / poradnikowe,
K-12,kaucja_krotnosc,1,x czynsz,1,2,"Polska, najem długoterminowy",2026,PewnyLokal / GAMP,https://pewnylokal.pl/ile-bierze-posrednik-nieruchomosci-i-agencja-nieruchomosci,praktyka rynkowa,"Zwykle 1–2 miesiące; art. 6 ustawy o ochronie praw lokatorów limituje do 12-krotności"
K-13,prowizja_posrednika,1,x czynsz,0.5,2,"Polska, najem przez biuro",2026,PewnyLokal / Bożyk Nieruchomości,https://www.bozyknieruchomosci.pl/blog/prowizje-biur-nieruchomosci-w-2025/,praktyka rynkowa,"Od 0,5 do 2 czynszów; standardowo 1 czynsz, gdy oferta z agencji"
K-14,budzet_wejsciowy_2pok,13500,zl,12600,14400,"Kraków, 2-pokojowe 45–55 m2 przy 3600 zl czynszu",2026-05,GAMP Kraków,https://www.gamp-krakow.pl/rynek-najmu-krakow-2026-dane-mediany-ryzyka/,wtórne / poradnikowe,"Pierwszy czynsz + kaucja + prowizja + pierwsze rachunki (~700)"
K-15,udzial_ofert_z_czynszem_na_karcie,,%,,,"Otodom, karta oferty",,BRAK ŹRÓDŁA,,ZAŁOŻENIE,"Nie znalazłem publicznego pomiaru. Przyjęte 0,70 w generatorze jako parametr jawny — wymaga własnego zliczenia na wynikach wyszukiwania"
K-16,udzial_ofert_agencyjnych,,%,,,"Otodom, Kraków, najem",,BRAK ŹRÓDŁA,,ZAŁOŻENIE,"Przyjęte 0,45 w generatorze jako parametr jawny — wymaga własnego zliczenia"
